"Journal.Name","Journal.Publisher","Publisher.Email"
"asian and pacific migration journal","SAGE Publications","Inc.claims@sagepub.com"
"asian and pacific migration journal","SAGE Publications Inc.","claims@sagepub.com"
"asian and pacific migration journal","Scalabrini Migration","Centerclaims@sagepub.com"
"asian and pacific migration journal","Scalabrini Migration Center",NA
"asian and pacific migration journal","Scalabrini Migration Center, 1100 Quezon city",NA
"asian and pacific migration journal",NA,NA
"citizenship studies","Carfax Publishing Company",NA
"citizenship studies","Routledge",NA
"citizenship studies",NA,"Routledgeinfo@tandf.co.uk"
"comparative migration studies","Springer",NA
"comparative migration studies","Springer Science and Business Media Deutschland","GmbHinfo@springer-sbm.com"
"comparative migration studies","Springer Science and Business Media Deutschland GmbH",NA
"cultural diversity and ethnic minority psychology","American Psychological Association","Inc.journals@apa.org"
"cultural diversity and ethnic minority psychology","American Psychological Association Inc.",NA
"cultural diversity and ethnic minority psychology","American Psychological Association, NEWashingtonDC","20002-4242journals@apa.org"
"cultural diversity and ethnic minority psychology","NLM Medline",NA
"cultural diversity and ethnic minority psychology",NA,NA
"cultural diversity and mental health","Educational Publishing Foundation",NA
"cultural diversity and mental health","John Wiley and Sons Inc.",NA
"cultural diversity and mental health",NA,NA
"ethnic and racial studies","Routledge","info@tandf.co.uk"
"ethnic and racial studies","Routledge Journals",NA
"ethnic and racial studies",NA,"Routledgeinfo@tandf.co.uk"
"ethnicities","SAGE Publications","Ltdinfo@sagepub.co.uk"
"ethnicities","SAGE Publications Ltd",NA
"ethnicities",NA,NA
"ethnicity and health","Carfax Publishing Company",NA
"ethnicity and health","NLM Medline",NA
"ethnicity and health","Routledge",NA
"ethnicity and health",NA,"Routledgeinfo@tandf.co.uk"
"european journal of migration and law","Brill","Nijhofforders@brill.nl"
"european journal of migration and law","Kluwer Law International",NA
"european journal of migration and law","Martinus Nijhoff","Publishersorders@brill.nl"
"european journal of migration and law","Martinus Nijhoff Publishers",NA
"european journal of migration and law",NA,NA
"global networks","Blackwell Publishing","Ltdinfo@royensoc.co.uk, Ltdcustomerservices@oxonblackwellpublishing.com"
"global networks","Blackwell Publishing Ltd",NA
"global networks",NA,NA
"identities","Gordon and Breach Science Publishers",NA
"identities","Routledge",NA
"identities","Taylor and Francis Ltd.",NA
"identities",NA,"Routledgeaabs@uw.edu, Routledgeinfo@tandf.co.uk"
"international journal of intercultural relations","Elsevier Ltd",NA
"international journal of intercultural relations",NA,NA
"international journal of migration, health and social care","Emerald Group Holdings","Ltd.usinfo-f@elsevier.com"
"international journal of migration, health and social care","Emerald Group Publishing Ltd.Howard HouseWagon Lane, BingleyBD16 1WA",NA
"international journal of migration, health and social care","JAI","Pressusinfo-f@elsevier.com"
"international journal of migration, health and social care","Pier Professional Ltd",NA
"international journal of migration, health and social care",NA,NA
"international migration","Blackwell Publishing","Ltdinfo@royensoc.co.uk, Ltdcustomerservices@oxonblackwellpublishing.com"
"international migration","Blackwell Publishing Ltd",NA
"international migration",NA,NA
"international migration review","Blackwell Publishing","Inc.info@sagepub.co.uk, Inc.subscrip@blackwellpub.com"
"international migration review","Blackwell Publishing Inc.",NA
"international migration review","Center for Migration Studies",NA
"international migration review","SAGE Publications","Ltdinfo@sagepub.co.uk"
"international migration review",NA,NA
"iza journal of migration","SpringerOpen",NA
"journal of black studies","SAGE Publications","Inc.claims@sagepub.com"
"journal of black studies","SAGE Publications Inc.","claims@sagepub.com"
"journal of black studies",NA,NA
"journal of diversity in higher education","American Psychological","Associationjournals@apa.org"
"journal of diversity in higher education","American Psychological Association","Inc.journals@apa.org"
"journal of diversity in higher education","American Psychological Association, NEWashingtonDC","20002-4242journals@apa.org"
"journal of diversity in higher education",NA,NA
"journal of ethnic and migration studies","Carfax Publishing Company",NA
"journal of ethnic and migration studies","Routledge",NA
"journal of ethnic and migration studies",NA,"Routledgeinfo@tandf.co.uk"
"journal of immigrant and refugee studies","Routledge",NA
"journal of immigrant and refugee studies",NA,"Routledgeinfo@tandf.co.uk, Routledgeaabs@uw.edu"
"journal of intercultural studies","Routledge",NA
"journal of intercultural studies",NA,"Routledgeinfo@tandf.co.uk"
"journal of international migration and integration","Kluwer Academic Publishers",NA
"journal of international migration and integration","Springer","Netherlandsrbk@louisiana.edu"
"journal of international migration and integration","Springer Netherlands",NA
"journal of international migration and integration","Springer Science Business Media","B.V.editorial@springerplus.com"
"journal of international migration and integration","Springer Science and Business Media","B.V.editorial@springerplus.com"
"journal of international migration and integration","Springer Science and Business Media Netherlands",NA
"journal of international migration and integration",NA,"Springereditorial@springerplus.com"
"journal of migration history","Brill Academic","Publisherscs@brill.nl"
"journal of migration history","Brill Academic Publishers",NA
"journal of refugee studies","Oxford University","Pressjnl.info@oup.co.uk, Pressjnls.cust.serv@oupjournals.org"
"journal of refugee studies","Oxford University Press",NA
"journal of refugee studies",NA,NA
"journal of studies in international education","SAGE Publications","Inc.claims@sagepub.com"
"journal of studies in international education","SAGE Publications Inc.","claims@sagepub.com"
"journal of studies in international education",NA,NA
"language, culture and curriculum","Multilingual Matters Ltd",NA
"language, culture and curriculum","Routledge",NA
"language, culture and curriculum",NA,"Routledgeinfo@tandf.co.uk"
"latino studies","Palgrave Macmillan","Ltd.journal-info@palgrave.com"
"latino studies","Palgrave Macmillan Ltd.HoundmillsBasingstoke, Hants.RG21","6XSjournal-info@palgrave.com"
"latino studies","Palgrave Macmillan Ltd.HoundmillsBasingstoke, Hants.RG21 6XS",NA
"latino studies","Palgrave MacmillanHoundmillsBasingstoke, Hants.RG21 6XS",NA
"latino studies",NA,NA
"migration letters","Migration","Letterssales@tplondon.com"
"migration letters","Transnational Press London","Ltdsales@tplondon.com"
"migration studies","Oxford University","Pressjnl.info@oup.co.uk, Pressjnls.cust.serv@oupjournals.org"
"migration studies","Oxford University Press",NA
"migration world",NA,NA
"mobilities","Routledge",NA
"mobilities",NA,"Routledgeinfo@tandf.co.uk"
"patterns of prejudice","Routledge",NA
"patterns of prejudice","SAGE Publications Ltd",NA
"patterns of prejudice",NA,"Routledgeinfo@tandf.co.uk"
"population and development review","Blackwell Publishing","Ltdcustomerservices@oxonblackwellpublishing.com, Ltdinfo@royensoc.co.uk"
